mode;gf
D
nbcol;nblignes
20;50
X capteur;Y capteur
9;46
7;34
14;34
7;25
16;17
9;43
5;17
6;7
15;25
25;14
29;16
33;18
37;21
26;5
34;31
26;42
29;46
33;42
adresse du fond:
/Images/2pieds2.png
Commentaire:
 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
00
#
1;409;583;655;142;0;342;278;0;0
2;411;583;655;142;0;342;277;0;0
3;413;583;655;141;0;343;277;0;0
4;415;583;655;143;0;343;276;0;0
5;416;583;655;144;0;343;276;0;0
6;417;583;655;144;0;343;275;0;0
7;418;583;655;142;0;344;275;0;0
8;419;583;655;143;0;343;274;0;1
9;419;583;655;143;0;344;273;0;1
10;420;583;655;142;0;343;273;0;1
11;420;583;655;142;0;344;272;0;1
12;422;582;655;141;0;344;272;0;1
13;424;583;655;140;0;345;271;0;1
14;427;583;655;139;0;345;271;0;3
15;429;583;655;140;0;345;271;0;3
16;432;583;655;139;0;345;270;0;1
17;435;583;655;141;0;346;269;0;1
18;437;583;655;141;0;347;268;0;1
19;439;583;655;141;0;347;268;0;2
20;441;583;655;141;0;347;267;0;2
21;443;583;655;142;0;348;268;0;2
22;444;583;655;143;0;348;267;0;1
23;446;583;655;144;0;349;266;0;1
24;448;584;655;145;0;349;267;0;1
25;450;584;655;146;0;348;266;0;1
26;451;584;655;147;0;349;267;0;1
27;452;584;655;148;0;350;267;0;0
28;453;584;655;149;0;350;267;0;0
29;454;585;655;150;0;350;267;0;0
30;455;585;655;151;0;350;266;0;0
31;455;585;655;151;0;350;267;0;0
32;455;585;655;151;0;350;267;0;0
33;455;586;655;151;0;350;268;0;1
34;455;586;655;151;0;350;267;0;1
35;455;586;655;150;0;350;268;0;1
36;455;586;655;151;0;350;267;0;1
37;454;586;655;151;0;350;268;0;2
38;454;586;655;151;0;351;267;0;2
39;454;586;655;152;0;351;267;0;4
40;454;585;655;152;0;351;267;0;4
41;454;585;655;153;0;352;266;0;2
42;455;585;655;153;0;352;266;0;2
43;454;585;655;155;0;352;265;0;2
44;454;585;655;155;0;352;266;0;2
45;454;585;655;155;0;352;265;0;1
46;453;585;655;154;0;352;266;0;2
47;453;584;655;153;0;352;267;0;3
48;453;584;655;152;0;351;267;0;3
49;453;584;655;153;0;352;267;0;3
50;453;584;655;153;0;352;267;0;3
51;454;584;655;151;0;352;267;0;3
52;453;584;655;151;0;352;266;0;4
53;453;584;655;152;0;352;266;0;4
54;454;584;655;151;0;353;265;0;3
55;455;585;655;151;0;353;265;0;1
56;455;585;655;151;0;354;265;0;1
57;455;585;655;150;0;354;263;0;1
58;455;585;655;153;0;353;263;0;1
59;456;586;655;154;0;354;262;0;1
60;458;586;655;155;0;354;263;0;0
61;460;586;656;155;0;355;263;0;0
62;461;587;656;156;0;355;264;0;0
63;462;587;655;158;0;355;263;0;0
64;464;587;655;159;0;355;263;0;0
65;466;587;655;161;0;356;264;0;0
66;467;587;655;160;0;356;265;0;0
67;468;587;655;160;0;356;266;0;0
68;468;587;655;161;0;357;268;0;0
69;469;588;655;161;0;357;268;0;0
70;469;588;655;161;0;357;269;0;0
71;469;588;656;163;0;357;271;0;0
72;469;588;656;164;0;358;272;0;0
73;468;588;656;165;0;358;273;0;0
74;468;588;656;166;0;358;274;0;0
75;468;588;656;167;0;358;275;0;0
76;467;588;656;168;0;358;275;0;0
77;467;588;656;169;0;357;276;0;0
78;467;588;656;171;0;357;277;0;0
79;466;588;656;171;0;357;278;0;0
80;467;588;656;170;0;356;279;0;0
81;467;589;656;170;0;357;280;0;0
82;468;589;656;170;0;357;281;0;0
83;468;589;656;171;0;357;282;0;2
84;468;589;656;171;0;358;282;0;4
85;468;589;656;171;0;358;282;0;5
86;467;588;656;170;0;358;282;0;6
87;466;589;656;170;0;358;283;0;8
88;464;588;656;170;0;357;283;0;11
89;463;588;656;170;0;357;283;0;13
90;460;588;656;168;0;355;284;0;15
91;456;588;656;168;0;354;285;0;15
92;451;587;656;165;0;353;286;0;15
93;444;587;656;163;0;351;286;1;16
94;438;586;656;162;0;350;288;1;16
95;430;585;656;161;0;347;288;1;17
96;422;584;656;158;0;346;289;1;16
97;413;583;656;155;0;344;291;1;16
98;403;582;656;156;0;342;292;1;16
99;394;581;655;154;0;339;293;1;17
100;380;580;655;154;0;336;294;1;16
101;366;579;655;153;0;333;296;0;16
102;351;577;655;151;0;329;298;0;16
103;336;575;654;149;0;326;301;0;16
104;319;573;653;147;0;322;304;0;14
105;304;571;651;147;0;317;307;0;14
106;289;568;649;143;0;313;311;0;12
107;274;565;647;141;0;310;315;0;9
108;265;562;644;140;0;306;319;0;7
109;256;559;641;138;0;302;324;0;6
110;248;555;638;138;0;299;327;0;4
111;239;553;635;136;0;296;331;0;2
112;231;550;632;135;0;293;334;0;2
113;222;546;629;134;0;291;336;0;0
114;212;542;624;134;0;288;339;0;0
115;202;538;618;132;0;286;340;0;0
116;190;534;611;129;0;283;341;0;0
117;178;530;602;123;0;280;342;0;0
118;164;526;593;118;0;276;343;0;0
119;150;520;581;114;0;272;344;0;0
120;137;515;571;110;0;268;344;0;0
121;125;510;561;104;0;264;345;0;0
122;113;505;551;97;0;260;345;0;0
123;102;501;543;93;0;255;347;0;0
124;93;497;534;89;0;251;348;0;0
125;85;493;527;87;0;246;350;0;0
126;78;489;519;86;0;241;351;0;0
127;74;486;512;85;0;237;353;0;0
